icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
SVAC;Акарикуа;Acarigua;Акарикуа;Acarigua;Венесуэла;11:116°,29:296°
;;Agnew;;Agnew;Австралия;
VOAT;Агатти-Айленд;Agatti Island;Агатти-Айленд;Agatti Island;Индия;
;;Argyle Downs;;Argyle Downs;Австралия;
FAAG;Аггенейз;Aggeneys;Аггенейз;Aggeneys;ЮАР;07:069°,25:249°,13:133°,31:313°
RORG;;Naha Air Force Base;Окинава;Okinawa;Япония;
OEAB;Абха;Abha;Абха;Abha;Саудовская Аравия;13:128°,31:308°
KAHC;;Amedee AAF;;Herlong;Норвегия;
KAHD;;Downtown;Ардмор;Ardmore;США;
NTHE;;Ahe Airport;;Ahe;Французская Полинезия;
;;Municipal;;Arapahoe;Гватемала;
KAHH;;Municipal;;Amery;США;
WAPA;Амахаи;Amahai;Амахаи;Amahai;Индонезия;
SYAH;Аисхалтон;Aishalton;Аисхалтон;Aishalton;Гайана;
KAHN;Афины;Athens;Афины;Athens;Греция;
LIEA;;Fertilia;;Alghero;Италия;
;Ахуас;Ahuas;Ахуас;Ahuas;Гондурас;
PHKO;Ам-Тиман;Amchitka;Ам-Тиман;Amchitka;США;
GMTA;;Charif Al Idrissi;;Al Hoceima;Марокко;
;Амбатолахи;Ambatolahy;Амбатолахи;Ambatolahy;Мадагаскар;
LFHU;;Alpe D Huez;;Alpe D Huez;Франция;
KAIA;Альянс;Alliance;;Alliance;США;
PKWA;Анита Бэй;Anita Bay;;Anita Bay;США;
;Айрок;Airok;;Airok, Ailinglaplap;Маршалловы острова;
KAID;;Municipal;;Anderson;США;
;Айоме;Aiome;Айоме;Aiome;Папуа - Новая Гвинея;
SBAS;;Assis;;Assis;Бразилия;
FEFY;Ялинга;Yalinga;Ялинга;Yalinga;Центральноафриканская Республика;
KCID;;Aiambak;;Aiambak;Папуа - Новая Гвинея;
HDAS;;Alisabieh;;Alisabieh;Джибути;
KAIK;;Municipal;;Aiken;США;
;Айлиганди;Ailigandi;Айлиганди;Ailigandi;Панама;
;;Ailuk Island;;Ailuk Island;Маршалловы острова;
PAWI;;Wainwright;;Wainwright;США;
KAIO;;Municipal;;Atlantic;США;
;;Ailinglapalap Island;;Ailinglapalap Island;Маршалловы острова;
;;Aripuana;;Aripuana;Бразилия;
NGTR;Ароре-Айленд;Arorae Island;Ароре-Айленд;Arorae Island;Кирибати;
NCAI;Аитутаки;Aitutaki;Аитутаки;Aitutaki;Острова Кука;14:141°,32:321°
NCAT;;Atiu Island;;Atiu Island;Острова Кука;
KAIV;;George Downer;;Aliceville;США;
KCID;;Ai-ais;;Ai-ais;Намибия;
KAIY;;Bader Field;Атлантик Сити;Atlantic City;США;
KAIZ;;Lee C Fine Memorial;;Kaiser/Lake Ozark;США;
LFKJ;Кампо Дель Оро;Campo Dell Oro;Аяччио;Ajaccio;Франция;
OESK;Джуф;Jouf;;Sakaka Al Jouf;Саудовская Аравия;
LTCO;;"A&amp;#287;ri";Агри;Agri;Италия;
GQNJ;Акжужт;Akjoujt;Акжужт;Akjoujt;Мавритания;
FHAW;;Araak;;Araak;Иран;
VEAZ;Айзаул;Aizawl;Айзаул;Aizawl;Индия;
FMCV;;Ouani;Анжуан;Anjouan;Коморские острова;
;Альюф;Aljouf;Альюф;Aljouf;Йемен;
ESNX;Арвидсьяур;Arvidsjaur;Арвидсьяур;Arvidsjaur;Швеция;12:121°,30:301°
;Абреохос;Abreojos;Абреохос;Abreojos;Мексика;
SBAR;Санта Мария;Santa Maria;Аракайю;Aracaju;Бразилия;
DRZA;;Agades;;Agades;Нигер;
ZLAK;Анькан;Ankang;Анькан;Ankang;Китай;
PAAK;;Atka;;Atka;США;
KAKR;;Fulton International;;Akron/Canton;ЮАР;
VAAK;Акола;Akola;Акола;Akola;Индия;10:104°,28:284°
;Акиени;Akieni;Акиени;Akieni;Габон;
HLKF;Куфра;Kufrah;Куфра;Kufrah;Ливия;
